Rank,Gene,
5087,POLD4,
5088,KCNU1,
5089,SNX32,
5090,EFCAB13,
5091,CNTD2,
5092,CKB,
5093,BBS7,
5094,MARCH1,
5095,XAB2,
5096,BATF3,
5097,C1orf127,
5098,TK1,
5099,RANBP1,
5100,WDR3,
5101,CARHSP1,
5102,ASXL1,
5103,C1S,
5104,IFT57,
5105,CD79B,
5106,APEX2,
5107,PAX4,
5108,MED9,
5109,POU3F4,
5110,BBOX1,
5111,CXCL14,
5112,COLEC12,
5113,TPI1,
5114,ATP1B1,
5115,LRRC4C,
5116,EFNB1,
5117,KCNAB2,
5118,ZNRF2,
5119,COL6A3,
5120,WASF1,
5121,CLSPN,
5122,RP11-295K3.1,
5123,CNGB1,
5124,HBA1,
5125,GABRB3,
5126,LDLRAD4,
5127,STX18,
5128,CLPS,
5129,RAB22A,
5130,PIM2,
5131,CREB5,
5132,CEP164,
5133,XRN2,
5134,HBA2,
5135,TCTEX1D1,
5136,LRRC4,
5137,IRAK3,
5138,PELP1,
5139,PGK1,
5140,HFM1,
5141,ARHGEF11,
5142,NPTN,
5143,HPSE,
5144,ENAM,
5145,RPL14,
5146,POLR3K,
5147,UGCG,
5148,PRCP,
5149,TRUB1,
5150,UBE2J1,
5151,STARD13,
5152,CENPH,
5153,KNTC1,
5154,KPNA5,
5155,PRPF39,
5156,NME8,
5157,COL11A1,
5158,SKIL,
5159,SCG2,
5160,KLK2,
5161,GIPR,
5162,CCNK,
5163,BBS4,
5164,CBFA2T2,
5165,UBFD1,
5166,WDR61,
5167,POLDIP3,
5168,SSR2,
5169,SLC39A10,
5170,RP11-343C2.12,
5171,ATP1A3,
5172,RBFOX1,
5173,ROBO3,
5174,PICK1,
5175,SPINK1,
5176,BATF,
5177,GRIN3B,
5178,CNPY2,
5179,P2RX1,
5180,ACTR3B,
5181,RP11-343C2.11,
5182,WAS,
5183,FZD7,
5184,CADM1,
5185,PTPN13,
5186,ASPN,
5187,POLE3,
5188,FRYL,
5189,NME7,
5190,DUSP6,
5191,FAM124A,
5192,RBM34,
5193,UGT1A5,
5194,LEFTY1,
5195,GTF3A,
5196,VPS72,
5197,GPBAR1,
5198,DUSP4,
5199,ACADM,
5200,TRPV6,
5201,DISC1,
5202,GNMT,
5203,ESCO1,
5204,KCNJ3,
5205,NFS1,
5206,SARDH,
5207,UPF2,
5208,CRABP1,
5209,HMMR,
5210,ISCU,
5211,ZMYND19,
5212,SATB1,
5213,CTD-2550O8.5,
5214,FFAR4,
5215,SC5D,
5216,RPS24,
5217,NUP37,
5218,HIATL1,
5219,TSN,
5220,IL20,
5221,KCNK1,
5222,PIK3C2B,
5223,GTF2H3,
5224,SEPT4,
5225,HMSD,
5226,ICOSLG,
5227,THRSP,
5228,PAPSS2,
5229,CPA1,
5230,ADH4,
5231,TWISTNB,
5232,DDX18,
5233,MCU,
5234,NAT10,
5235,ABR,
5236,CENPO,
5237,HIST1H1B,
5238,HERC2,
5239,ELAC2,
5240,NPEPL1,
5241,ADIPOR1,
5242,MERTK,
5243,CMPK1,
5244,WRNIP1,
5245,FZD3,
5246,PANK2,
5247,ATG16L1,
5248,MECOM,
5249,PCCA,
5250,WBSCR17,
5251,NKX2-3,
5252,SNTA1,
5253,FGFR1OP,
5254,PTPRG,
5255,S100A10,
5256,TWIST2,
5257,SGCD,
5258,RPL13,
5259,CD99,
5260,CTDNEP1,
5261,ADRM1,
5262,USP2,
5263,TSSK2,
5264,RRP12,
5265,CDK13,
5266,ZSCAN10,
5267,FZD6,
5268,KERA,
5269,APOBEC3B,
5270,LIF,
5271,RPL30,
5272,CRHR2,
5273,COX6A1,
5274,NOP9,
5275,C1QA,
5276,PBRM1,
5277,TBL3,
5278,COG4,
5279,DSG1,
5280,CPSF7,
5281,NME3,
5282,XRCC2,
5283,PLA2G4B,
5284,LGMN,
5285,TACC3,
5286,NPAS3,
5287,PRMT3,
5288,EVX2,
5289,GLIS2,
5290,AARS2,
5291,FER,
5292,TNFRSF11A,
5293,TUBAL3,
5294,TSPAN15,
5295,RNF168,
5296,KIF1A,
5297,MARK4,
5298,APPL2,
5299,GSTO1,
5300,GPRASP1,
5301,MAGI1,
5302,AFG3L2,
5303,C4A,
5304,C1D,
5305,FBXO42,
5306,COL6A2,
5307,CSPG5,
5308,GADD45G,
5309,COL9A2,
5310,IQSEC2,
5311,ATF6B,
5312,SLC25A37,
5313,EFCAB9,
5314,CPSF4,
5315,RP11-544M22.13,
5316,ARSE,
5317,HINT1,
5318,DFFA,
5319,HOXB9,
5320,COMMD1,
5321,ASIC3,
5322,USP43,
5323,LIMK1,
5324,CDCA8,
5325,KCNE2,
5326,SEPT2,
5327,CSTF2,
5328,LPIN3,
5329,TRAPPC3,
5330,RAB27A,
5331,HIAT1,
5332,RP11-545J16.1,
5333,WDR73,
5334,FGF16,
5335,PAPD7,
5336,HIST2H2BE,
5337,WDR1,
5338,NSA2,
5339,DPF2,
5340,HOMER1,
5341,DERL3,
5342,EVX1,
5343,WHSC1,
5344,SLC1A1,
5345,AAK1,
5346,SYS1,
5347,EIF3CL,
5348,EEF1D,
5349,SLC35A2,
5350,PTGDS,
5351,PLAGL1,
5352,TSPAN3,
5353,GULP1,
5354,GANC,
5355,SGTB,
5356,CENPP,
5357,CPOX,
5358,GSTO2,
5359,BUD31,
5360,SLC39A8,
5361,ERO1A,
5362,EXT2,
5363,ALOX15B,
5364,KARS,
5365,AP3D1,
5366,TYRP1,
5367,NAA35,
5368,NELFCD,
5369,LCORL,
5370,UCHL3,
5371,SLU7,
5372,RHOT2,
5373,FLOT2,
5374,CHMP4B,
5375,MRPL4,
5376,RPL35,
5377,COPS3,
5378,FAIM2,
5379,GEMIN4,
5380,DBH,
5381,MAFB,
5382,DIAPH1,
5383,ZNRF3,
5384,HIST1H2BK,
5385,STARD8,
5386,RPS29,
5387,LINGO2,
5388,ASCC3,
5389,MCOLN1,
5390,ACSM1,
5391,PDLIM1,
5392,GRIA4,
5393,DBF4,
5394,IFNL2,
5395,FAM189A2,
5396,PTPRR,
5397,GLRX5,
5398,FABP2,
5399,HSD17B2,
5400,DDX60,
5401,MYL1,
5402,MARCH9,
5403,EIF5A,
5404,PRMT2,
5405,NECAP2,
5406,SMARCAL1,
5407,LRRC2,
5408,MC5R,
5409,SRP14,
5410,ALDH2,
5411,STOM,
5412,HIST1H4B,
5413,YBX3,
5414,MRPL11,
5415,LLGL2,
5416,PTCHD3,
5417,NECAP1,
5418,KCTD5,
5419,MARK1,
5420,GNG5,
5421,EPB41L1,
5422,PCM1,
5423,HAND1,
5424,NPAS1,
5425,PLRG1,
5426,ARHGEF16,
5427,CENPN,
5428,HK3,
5429,DSE,
5430,PGM3,
5431,L3MBTL1,
5432,AIFM1,
5433,RPL7A,
5434,RGPD4,
5435,PER1,
5436,PMEL,
5437,SH2B1,
5438,EIF3K,
5439,MARCH4,
5440,CIT,
5441,POLM,
5442,REST,
5443,BABAM1,
5444,CENPQ,
5445,RAB17,
5446,RHOT1,
5447,DERA,
5448,FRZB,
5449,MMD,
5450,NAALADL1,
5451,LRRC69,
5452,CAPN10,
5453,RAB14,
5454,DHODH,
5455,HSD3B7,
5456,PAPOLB,
5457,KCNJ2,
5458,SYCE2,
5459,CAB39L,
5460,TNNI1,
5461,IMPACT,
5462,NFATC4,
5463,MAP4,
5464,VPS33A,
5465,CAPN3,
5466,UPRT,
5467,PC,
5468,CHN1,
5469,FHL5,
5470,ALKBH8,
5471,AK4,
5472,NINJ1,
5473,COL5A2,
5474,SLC9A6,
5475,MT-ND5,
5476,NME4,
5477,UBQLNL,
5478,SPAG4,
5479,MINK1,
5480,PTPRJ,
5481,SLC39A5,
5482,PLOD1,
5483,OPA1,
5484,SPINK6,
5485,LRRN1,
5486,DAPK3,
5487,KLHDC10,
5488,ERH,
5489,SPAG1,
5490,UBP1,
5491,THRAP3,
5492,MAG,
5493,GTF2E1,
5494,MRPL16,
5495,NPPC,
5496,LRIG3,
5497,TESC,
5498,SOX1,
5499,PLIN2,
5500,OMD,
5501,WNT10A,
5502,DOK1,
5503,MYL3,
5504,GOLGA1,
5505,IFNK,
5506,PEMT,
5507,VRK1,
5508,VDAC2,
5509,RBM25,
5510,PLA2G1B,
5511,C9orf9,
5512,DPAGT1,
5513,COX11,
5514,UBR5,
5515,LRCH1,
5516,ZFPM1,
5517,KIFC3,
5518,CD59,
5519,FAM13A,
5520,MSH5-SAPCD1,
5521,CYLD,
5522,GABRB2,
5523,MPPED2,
5524,RBM28,
5525,USP25,
5526,HSFX1,
5527,LRFN2,
5528,MS4A2,
5529,POLB,
5530,CSTA,
5531,CALU,
5532,CPNE3,
5533,EIF4EBP3,
5534,NFATC3,
5535,LRRTM2,
5536,CENPM,
5537,TCEA3,
5538,LRRC26,
5539,HIST1H4J,
5540,WIPF1,
5541,GAP43,
5542,ETV5,
5543,IQCB1,
5544,NALCN,
5545,SLC13A3,
5546,TFB1M,
5547,NUF2,
5548,ULK1,
5549,POU4F1,
5550,CCT8,
5551,MOCS1,
5552,MTIF2,
5553,SCN3A,
5554,ACOX3,
5555,MUTYH,
5556,GIF,
5557,FKTN,
5558,OVGP1,
5559,TMED7,
5560,ISLR,
5561,ENDOG,
5562,CYC1,
5563,KCTD15,
5564,PTBP3,
5565,PLXNA1,
5566,PARVA,
5567,CRMP1,
5568,RPL37A,
5569,POU3F3,
5570,E2F5,
5571,PYGB,
5572,ANP32A,
5573,KIF4A,
5574,TMPO,
5575,MED28,
5576,TRIM36,
5577,RBM17,
5578,DIAPH2,
5579,KLHDC1,
5580,LRRC28,
5581,MED12L,
5582,PRKRIR,
5583,EIF5A2,
5584,NPHP4,
5585,CRX,
5586,DAD1,
5587,LHPP,
5588,TNNT3,
5589,RRP1B,
5590,PXDNL,
5591,KIF2B,
5592,APRT,
5593,DDX27,
5594,PRDM12,
5595,CRYAA,
5596,HIST1H1C,
5597,INSL3,
5598,CREB3L4,
5599,PPFIA1,
5600,LRRC24,
5601,SYCP1,
5602,PFN1,
5603,LRG1,
5604,SDCBP,
5605,FMN1,
5606,RFC1,
5607,PPIB,
5608,VSX2,
5609,PLOD2,
5610,ENTHD1,
5611,ESPN,
5612,RPL10L,
5613,BICD1,
5614,GLRX3,
5615,DDOST,
5616,TSFM,
5617,DCLRE1A,
5618,LRFN4,
5619,DDX39A,
5620,PDHA1,
5621,SNAP29,
5622,ATP5O,
5623,LMO4,
5624,CEP135,
5625,SRL,
5626,SCN11A,
5627,CPD,
5628,HIST1H4C,
5629,RABEPK,
5630,TFF1,
5631,LILRB2,
5632,GNAL,
5633,SLC26A4,
5634,WDR59,
5635,SELV,
5636,TRIP4,
5637,TIMP4,
5638,IPO5,
5639,GUF1,
5640,UNCX,
5641,EMX1,
5642,PROX1,
5643,KLHL2,
5644,CDK12,
5645,TNNI2,
5646,LRIT1,
5647,GNG4,
5648,ASNS,
5649,PLA2G16,
5650,PFKL,
5651,MUSK,
5652,SLC22A2,
5653,ARFIP2,
5654,ADSS,
5655,MAP2K7,
5656,IL26,
5657,HNRNPCL1,
5658,NDUFA5,
5659,DUSP5,
5660,USP21,
5661,MKRN3,
5662,VPS28,
5663,S100A8,
5664,SKI,
5665,MAPKAPK2,
5666,ABCC3,
5667,ANTXR2,
5668,CDK11B,
5669,ARX,
5670,DBP,
5671,KIFC1,
5672,FANCI,
5673,FAF1,
5674,ATP8B1,
5675,KCNG1,
5676,PRKRA,
5677,RP11-468E2.1,
5678,TAF7,
5679,SLC22A12,
5680,IMP4,
5681,MTSS1,
5682,GUCY2D,
5683,HIVEP1,
5684,TTC4,
5685,GNG8,
5686,CAMK1,
5687,RAD54L2,
5688,PCYT1A,
5689,RBMX,
5690,HES6,
5691,FLG,
5692,JMJD6,
5693,ALG10B,
5694,IDH3A,
5695,DIEXF,
5696,SLC35D1,
5697,SPTBN2,
5698,GTPBP1,
5699,MARCH10,
5700,MAP3K4,
5701,PFKM,
5702,CYP8B1,
5703,IFNA13,
5704,JDP2,
5705,HIST1H2BL,
5706,TTC28,
5707,HS6ST1,
5708,SLC17A7,
5709,ALG10,
5710,PRDM5,
5711,DIABLO,
5712,KDM4C,
5713,MARCH11,
5714,CTPS2,
5715,ADSL,
5716,SULT1E1,
5717,CD8B,
5718,RPL10,
5719,NDP,
5720,DTNBP1,
5721,AFF1,
5722,ISLR2,
5723,PTCHD4,
5724,DHX16,
5725,AK2,
5726,LTN1,
5727,JOSD1,
5728,RCC1,
5729,RPA4,
5730,GFRA1,
5731,CACNB2,
5732,TNFSF4,
5733,PTPDC1,
5734,ARHGAP32,
5735,RPL38,
5736,CBX2,
5737,GLUD1,
5738,HTATSF1,
5739,CDC26,
5740,CYP27B1,
5741,CDC42BPA,
5742,LRRC4B,
5743,KPNA6,
5744,DPH1,
5745,GRB14,
5746,CNBP,
5747,YBX2,
5748,CD27,
5749,TNFRSF1B,
5750,PTTG1,
5751,RPL34,
5752,ETF1,
5753,ADGRA1,
5754,LSM6,
5755,CYP24A1,
5756,RAD21L1,
5757,INPP5B,
5758,CDC14B,
5759,LRRN3,
5760,STON2,
5761,GNE,
5762,TYMP,
5763,SLC17A8,
5764,TES,
5765,SI,
5766,DCUN1D1,
5767,LASP1,
5768,RNF121,
5769,NDFIP1,
5770,MARK3,
5771,TAAR5,
5772,FSCN1,
5773,PRDX5,
5774,MMP17,
5775,GFI1,
5776,NDFIP2,
5777,LSG1,
5778,TICAM1,
5779,RAB11FIP2,
5780,AKAP5,
5781,TSPY4,
5782,RPLP2,
5783,BEST1,
5784,PYDC1,
5785,EXTL3,
5786,HIST1H2BA,
5787,BCL11A,
5788,PRKAG3,
5789,PPP1R12C,
5790,ARAP1,
5791,HOPX,
5792,CDKN3,
5793,COPZ1,
5794,UGT2B11,
5795,NDUFS3,
5796,CSTF3,
5797,SBDS,
5798,POLR3H,
5799,BCKDHB,
5800,RHBDL2,
5801,DDX31,
5802,ATP5H,
5803,TDRD7,
5804,DAND5,
5805,PPP1R13B,
5806,GNL3L,
5807,MIXL1,
5808,SERPINA4,
5809,FDPS,
5810,CNOT2,
5811,GUCY2C,
5812,ZBTB17,
5813,IFNE,
5814,SGOL1,
5815,NDUFA1,
5816,LMOD1,
5817,IGF2BP1,
5818,TXNDC5,
5819,SLC39A6,
5820,ACAA1,
5821,ADGRA2,
5822,TRPM6,
5823,TTC1,
5824,SLC25A6,
5825,CNTNAP2,
5826,TUBGCP4,
5827,ING5,
5828,KBTBD7,
5829,HRH2,
5830,MFSD10,
5831,GNG11,
5832,PVRL1,
5833,SYCP2,
5834,PKN2,
5835,SNTG2,
5836,RNF11,
5837,NOS1AP,
5838,PRMT6,
5839,CASC5,
5840,TBCE,
5841,CAPZB,
5842,POLR1D,
5843,TCN1,
5844,POGZ,
5845,CLASRP,
5846,CNPY1,
5847,SORCS1,
5848,WAPL,
5849,NT5C,
5850,HOXD13,
5851,PSD,
5852,HFE2,
5853,PTH2R,
5854,RREB1,
5855,ANXA6,
5856,CTD-3222D19.2,
5857,LSM1,
5858,FBXO32,
5859,SLC22A18,
5860,CASQ2,
5861,CBX4,
5862,THBS4,
5863,TAGLN2,
5864,MMP11,
5865,CREB3L2,
5866,GCKR,
5867,STIM1,
5868,EYA4,
5869,CCDC64B,
5870,CSNK1A1L,
5871,ACSL1,
5872,NDUFAB1,
5873,PEX5,
5874,RNF145,
5875,CLP1,
5876,SUN2,
5877,SELPLG,
5878,LDB1,
5879,RBCK1,
5880,RPS18,
5881,EIF2B2,
5882,SSR4,
5883,KLHL12,
5884,DHX37,
5885,RBM39,
5886,AP3S2,
5887,FCGR2A,
5888,ATN1,
5889,PTP4A1,
5890,TRIM55,
5891,GALE,
5892,EPHX1,
5893,COA6,
5894,UBE2F-SCLY,
5895,CD55,
5896,WLS,
5897,IFNW1,
5898,LIN54,
5899,MS4A1,
5900,PHGDH,
5901,KIF27,
5902,HOXD11,
5903,HNRNPL,
5904,DYNLT1,
5905,LRRC55,
5906,GLRA1,
5907,GALNT3,
5908,EIF2S3L,
5909,RPL31,
5910,LILRB1,
5911,C9,
5912,IMMP1L,
5913,GNG3,
5914,AP3S1,
5915,USP18,
5916,ACD,
5917,LMX1A,
5918,ARHGAP1,
5919,BSN,
5920,ZFY,
5921,ZNF207,
5922,RTN4RL2,
5923,CYP4F3,
5924,ASIC1,
5925,NDUFA2,
5926,ACSL4,
5927,KDM5C,
5928,RPF1,
5929,PTF1A,
5930,TSKU,
5931,CYP4F2,
5932,SRSF10,
5933,CACNA2D1,
5934,EIF3D,
5935,PIP,
5936,COL10A1,
5937,TALDO1,
5938,TADA2B,
5939,ALOX12,
5940,UGP2,
5941,ENTPD8,
5942,MSI1,
5943,BCCIP,
5944,SIK2,
5945,CDCA5,
5946,TUBGCP2,
5947,SNAPIN,
5948,PDLIM5,
5949,SPCS1,
5950,KIF22,
5951,NOLC1,
5952,SRPR,
5953,VRK2,
5954,BORCS7-ASMT,
5955,CHKA,
5956,CH25H,
5957,FGD1,
5958,PTPRO,
5959,ICT1,
5960,MRPL1,
5961,PARD6B,
5962,TSHZ2,
5963,CYTH4,
5964,GRIK1,
5965,PLCD4,
5966,RPL27,
5967,ATP10A,
5968,QSOX2,
5969,NLRC4,
5970,SIAH2,
5971,CEP70,
5972,ATP6AP1L,
5973,FUCA1,
5974,PSMA2,
5975,SLC4A1,
5976,MT-ND4,
5977,PLEKHG4B,
5978,MAN2C1,
5979,MAP3K15,
5980,NCALD,
5981,MAGT1,
5982,NMI,
5983,CACNB4,
5984,POLR3F,
5985,ME2,
5986,ZNHIT1,
5987,TMPRSS11D,
5988,KRR1,
5989,TANC1,
5990,KIAA0196,
5991,TSPO2,
5992,OTX1,
5993,BIRC6,
5994,SLC22A1,
5995,UQCR10,
5996,AARS,
5997,RPL7L1,
5998,SOX5,
5999,NAP1L1,
6000,FOXK1,
6001,PAPOLG,
6002,C3orf33,
6003,IQGAP2,
6004,MMP25,
6005,SLC25A4,
6006,ZWINT,
6007,FAM98A,
6008,POLA2,
6009,SRMS,
6010,TAF2,
6011,FIS1,
6012,TMPRSS2,
6013,SIX1,
6014,CALR3,
6015,ACSL3,
6016,TINF2,
6017,COIL,
6018,SPG20,
6019,IL18RAP,
6020,RRP1,
6021,NAP1L4,
6022,HIST1H2BC,
6023,MRPS14,
6024,CLDN11,
6025,MRPL2,
6026,MYL6,
6027,SYN3,
6028,EIF4EBP2,
6029,ERP44,
6030,MSTN,
6031,MELK,
6032,PAG1,
6033,TNIP1,
6034,MT-ND6,
6035,PRDM16,
6036,NUDT16L1,
6037,HIST1H2BI,
6038,HOXC10,
6039,CPA2,
6040,NCAPG,
6041,CCL17,
6042,SRD5A3,
6043,RAB3D,
6044,HNRNPA0,
6045,HNRNPAB,
6046,TNPO1,
6047,CYGB,
6048,NOV,
6049,UBR4,
6050,FBXO15,
6051,SAFB,
6052,HLA-DQB1,
6053,EIF2B5,
6054,SHPRH,
6055,ATP5J2,
6056,CAV2,
6057,CHMP2A,
6058,NLK,
6059,KCNN4,
6060,KIFC2,
6061,TPRXL,
6062,RNF25,
6063,CALCB,
6064,UBE2H,
6065,TAAR1,
6066,HIPK4,
6067,TAF10,
6068,ASXL2,
6069,MRPS15,
6070,CLDN5,
6071,CHRAC1,
6072,SLC17A5,
6073,RPS21,
6074,SIVA1,
6075,SLC39A3,
6076,SERPINA7,
6077,DMAP1,
6078,CLDN16,
6079,S100A4,
6080,ABI3,
6081,GBE1,
6082,SCAF4,
6083,MAGI2,
6084,NLGN4X,
6085,SHB,
6086,TDRD6,
6087,THTPA,
6088,EHD1,
6089,UGGT1,
6090,UBE2F,
6091,HERC5,
6092,SPDEF,
6093,GCLM,
6094,FAM98B,
6095,OGDHL,
6096,KPNA7,
6097,ACAT2,
6098,COX5B,
6099,TTF1,
6100,FSCN3,
6101,CRNKL1,
6102,DTYMK,
6103,UBR1,
6104,PDPN,
6105,TCHH,
6106,TDRD3,
6107,CDS1,
6108,TGM1,
6109,RPL39,
6110,NSL1,
6111,SSU72,
6112,PPFIA3,
6113,PARD6G,
6114,TMEM189-UBE2V1,
6115,PITPNM1,
6116,KCND1,
6117,FZD10,
6118,CDC42BPB,
6119,NME5,
6120,ACAD8,
6121,SCGB1A1,
6122,KLRB1,
6123,MAP4K3,
6124,CD70,
6125,EME1,
6126,GLE1,
6127,PMPCA,
6128,ARHGEF28,
6129,CALD1,
6130,LRRFIP1,
6131,SNX27,
6132,GLRA2,
6133,IFT43,
6134,FIP1L1,
6135,GPLD1,
6136,NHLRC2,
6137,HOXD9,
6138,SNX7,
6139,C10orf11,
6140,TFAP2B,
6141,TCTE1,
6142,LDHAL6B,
6143,KRT10,
6144,EXT1,
6145,RNF175,
6146,CLPP,
6147,MRPL3,
6148,DEK,
6149,SMN2,
6150,PLPP3,
6151,PGM2,
6152,ASS1,
6153,CRP,
6154,SLC1A5,
6155,RNFT1,
6156,GPSM1,
6157,PTH2,
6158,BID,
6159,HECW1,
6160,PPP1R1B,
6161,TRAF5,
6162,HES5,
6163,GABRE,
6164,LUZP4,
6165,AHCTF1,
6166,OSGEPL1,
6167,BDP1,
6168,STRAP,
6169,KDM4B,
6170,MUC6,
6171,TEX10,
6172,MYO1A,
6173,SNX30,
6174,HOXB7,
6175,UQCRB,
6176,RNF182,
6177,NOC4L,
6178,BUD13,
6179,SULT2B1,
6180,CHP2,
6181,LAX1,
6182,SYCE1,
6183,SKA2,
6184,CPA4,
6185,OTP,
6186,SLC5A2,
6187,SCNN1B,
6188,GCLC,
6189,COL9A1,
6190,EIF3H,
6191,RP11-435I10.4,
6192,TFCP2L1,
6193,TUB,
6194,SEL1L2,
6195,BRSK2,
6196,UCN,
6197,AGBL3,
6198,HOXA11,
6199,PLA2G3,
6200,LRRC10,
6201,GDF5,
6202,NDUFA6,
6203,SGMS1,
6204,PLOD3,
6205,WFS1,
6206,TUBGCP6,
6207,CHAF1A,
6208,WDFY3,
6209,PLEKHG5,
6210,OMA1,
6211,CACNA2D4,
6212,TSSK4,
6213,IQGAP3,
6214,RAB2B,
6215,MDM4,
6216,ACTR3C,
6217,MAPK8IP3,
6218,TEX12,
6219,HEXA,
6220,ERC2,
6221,CA3,
6222,NDUFB8,
6223,OSBP,
6224,STAM,
6225,NPR3,
6226,ABCF1,
6227,GSX1,
6228,FBP1,
6229,SLC45A2,
6230,TOB1,
6231,TAF5,
6232,LRRTM1,
6233,MAZ,
6234,HIST2H2BF,
6235,STS,
6236,ALG1,
6237,SPOPL,
6238,STAU2,
6239,RGPD2,
6240,MFN2,
6241,CCL22,
6242,PLA2G12B,
6243,SOX15,
6244,COL9A3,
6245,CPT1B,
6246,SOX30,
6247,MPG,
6248,ARHGEF18,
6249,TPH1,
6250,LMO1,
6251,BCL11B,
6252,GMNN,
6253,PLA2G12A,
6254,CMPK2,
6255,MEP1B,
6256,GUCY1A2,
6257,GREM1,
6258,DDX23,
6259,MEIS2,
6260,CSPG4,
6261,POLE4,
6262,ATPAF2,
6263,LAMTOR5,
6264,ALDH3A2,
6265,LRRC17,
6266,SORBS3,
6267,CKS1B,
6268,CHMP1A,
6269,OPHN1,
6270,RPS10,
6271,HMX1,
6272,ADH5,
6273,RRP7A,
6274,PDZRN3,
6275,GBX2,
6276,TEP1,
6277,EEF1B2,
6278,HMBS,
6279,WDR43,
6280,GPAA1,
6281,DIDO1,
6282,SLC27A2,
6283,CITED1,
6284,CCP110,
6285,QPCT,
6286,IRX6,
6287,B9D2,
6288,ZNF77,
6289,LRRC30,
6290,RTN4RL1,
6291,IMPDH1,
6292,PDHB,
6293,EIF2B3,
6294,CFP,
6295,PLA2G4D,
6296,TAOK1,
6297,USP13,
6298,MRPL22,
6299,COL22A1,
6300,ZNF319,
6301,FEM1B,
6302,LRRC8A,
6303,PTPRB,
6304,SNX11,
6305,ANKRD42,
6306,TLR6,
6307,ACBD7,
6308,TRIM32,
6309,COX10,
6310,CNOT1,
6311,NCAPD2,
6312,RTKN,
6313,CLCN7,
6314,ABI2,
6315,CIB4,
6316,CDKN2C,
6317,DNPEP,
6318,ELAVL3,
6319,ZFP42,
6320,SFRP2,
6321,VMP1,
6322,MSL3,
6323,ATP5S,
6324,TSC22D3,
6325,SACM1L,
6326,SLC9C1,
6327,OAT,
6328,DLAT,
6329,CROT,
6330,RIOK2,
6331,TIRAP,
6332,SDE2,
6333,FZD9,
6334,MSI2,
6335,GLYATL2,
6336,ZFX,
6337,DPM1,
6338,DHX40,
6339,AP5B1,
6340,PNRC2,
6341,NUDT21,
6342,COX8A,
6343,DNAJB4,
6344,ARFIP1,
6345,ALDH1L1,
6346,BIRC7,
6347,ARHGEF4,
6348,CPSF6,
6349,RBM19,
6350,CCNY,
6351,FABP7,
6352,HEMK1,
6353,SUN1,
6354,CGN,
6355,LSM14A,
6356,ZWILCH,
6357,STOML2,
6358,DCTN3,
6359,H2AFJ,
6360,NEO1,
6361,USP32,
6362,PFN2,
6363,B4GALT7,
6364,PYGL,
6365,UBXN2B,
6366,CLVS1,
6367,UTP15,
6368,ZNF165,
6369,SLC4A4,
6370,BICD2,
6371,CIRH1A,
6372,RPLP1,
6373,PARP3,
6374,CDH13,
6375,LRRC38,
6376,C1GALT1C1,
6377,SPIN1,
6378,PSIP1,
6379,LRRC32,
6380,WSB1,
6381,LRRC57,
6382,ALDH1B1,
6383,SCO1,
6384,COL4A3BP,
6385,C17orf64,
6386,IL17F,
6387,DHX35,
6388,LRRC8C,
6389,LYVE1,
6390,DAP,
6391,FGD4,
6392,PKNOX1,
6393,UNC13C,
6394,EIF1AY,
6395,SEC14L3,
6396,WDR35,
6397,CLCN3,
6398,SGCB,
6399,ARHGEF17,
6400,RAP1GAP,
6401,CDH23,
6402,ATP5L2,
6403,GNPDA2,
6404,DHTKD1,
6405,SURF4,
6406,NANS,
6407,RCL1,
6408,CHD5,
6409,NDUFC2,
6410,CACNB1,
6411,PLXND1,
6412,ADAM33,
6413,SRRM2,
6414,RFX8,
6415,PLA2G4E,
6416,UTP6,
6417,FCF1,
6418,AEN,
6419,ZKSCAN8,
6420,COX6B1,
6421,CNIH1,
6422,KDM3A,
6423,RPL35A,
6424,CPT2,
6425,SRP72,
6426,DDR2,
6427,MAPKAP1,
6428,SIRT4,
6429,ALDH5A1,
6430,EPB41L3,
6431,IL37,
6432,PLA2G2F,
6433,UTP23,
6434,JMJD7-PLA2G4B,
6435,MALT1,
6436,DDX50,
6437,ASAP2,
6438,USP29,
6439,LYPD6B,
6440,DSCC1,
6441,JMJD1C,
6442,LRRC66,
6443,CACNA1E,
6444,ATP6V1G2,
6445,PFKFB1,
6446,TBC1D10A,
6447,HAUS2,
6448,CD14,
6449,MT-ND4L,
6450,RBM14,
6451,ULBP3,
6452,CYP2C18,
6453,CST4,
6454,FIG4,
6455,CD28,
6456,LRRC58,
6457,AGMO,
6458,CHMP5,
6459,RNMT,
6460,PIM3,
6461,PRICKLE2,
6462,ALOX15,
6463,CACNA1H,
6464,FCHO2,
6465,ABCB6,
6466,SEC14L4,
6467,GARS,
6468,PNO1,
6469,SGSM3,
6470,TSPY1,
6471,GRIK5,
6472,NOL6,
6473,SNTG1,
6474,MYLK3,
6475,BTG2,
6476,RAPSN,
6477,ELMO1,
6478,SNX17,
6479,MLYCD,
6480,LRRC18,
6481,ETV7,
6482,ROBO2,
6483,UQCRQ,
6484,ZNF423,
6485,LIM2,
6486,DGCR6,
6487,DUSP3,
6488,SGOL2,
6489,PLCH2,
6490,GUCY2F,
6491,CENPB,
6492,LRAT,
6493,PUS1,
6494,HP1BP3,
6495,FUBP1,
6496,CARD11,
6497,DNTTIP2,
6498,SGIP1,
6499,RNF111,
6500,LRRN4,
6501,ECM2,
6502,MDH1B,
6503,NUP93,
6504,POLR3D,
6505,LRRC39,
