Rank,Gene,
375,CSNK2A2,
376,PTGS2,
377,CYP2B6,
378,GRIN1,
379,ATR,
380,CLU,
381,CASP6,
382,AC006486.9,
383,PML,
384,CTNND1,
385,CHEK2,
386,VWF,
387,CUL1,
388,CHEK1,
389,ETS1,
390,MRE11A,
391,STX5,
392,GRIN2A,
393,TAF1,
394,AP5M1,
395,WDR5,
396,CASP1,
397,CTNNA1,
398,ATP2A2,
399,ERN1,
400,VTN,
401,ATP2A1,
402,EIF2AK3,
403,DMC1,
404,WRN,
405,CASP7,
406,JUP,
407,CDK5,
408,RYR2,
409,HIST2H2AC,
410,REN,
411,TIMP3,
412,STAT5A,
413,FOXL2,
414,PRMT5,
415,BLM,
416,PARL,
417,HSP90AA1,
418,XRCC3,
419,RECQL,
420,SMC3,
421,RAD52,
422,SETD1A,
423,RAD51B,
424,DLK1,
425,CYP11B2,
426,CHMP2B,
427,IL1B,
428,RAD51D,
429,EGF,
430,TCEB1,
431,RAD18,
432,ATP2A3,
433,FN1,
434,ERBB3,
435,ETS2,
436,LCK,
437,FEN1,
438,LHX4,
439,FLNC,
440,ASH2L,
441,AGTR1,
442,DOT1L,
443,ATF6,
444,LIG4,
445,AC002398.9,
446,TAF1L,
447,NBN,
448,DLG1,
449,FLNB,
450,RBBP5,
451,CTNND2,
452,SETD1B,
453,KMT2D,
454,FLNA,
455,CDC27,
456,NTRK3,
457,YME1L1,
458,FBXO18,
459,RAG1,
460,KMT2C,
461,VCAM1,
462,LPL,
463,MBTPS2,
464,RAD51L3-RFFL,
465,CREBBP,
466,PDGFRB,
467,GFAP,
468,A2M,
469,HPRT1,
470,SMC6,
471,MDK,
472,DNER,
473,WDR4,
474,MUS81,
475,SPINT2,
476,KCNIP2,
477,HM13,
478,TOPBP1,
479,CTSD,
480,CIB1,
481,SLC6A7,
482,SMC5,
483,MAPK14,
484,ICAM5,
485,ITGB1,
486,CALR,
487,CDKN1B,
488,CACUL1,
489,MAPRE2,
490,WDR82,
491,RNF8,
492,PTH,
493,H2AFY,
494,PAGR1,
495,SRI,
496,KCNIP3,
497,SCT,
498,DPY30,
499,RAC1,
500,SERPINE2,
501,SLC2A4,
502,KCNIP1,
503,H2AFY2,
504,ACTB,
505,PTAFR,
506,KCNIP4,
507,PXN,
508,NCAM1,
509,ELAVL1,
510,DOCK3,
511,SLF1,
512,LYZ,
513,KL,
514,WNT3A,
515,SOX9,
516,SPPL3,
517,DBF4B,
518,NOP14,
519,VLDLR,
520,KDM1B,
521,CXCL8,
522,METTL2B,
523,SERPINF2,
524,DZIP1,
525,MTCH1,
526,MATR3,
527,FAM175A,
528,CTGF,
529,PROC,
530,NPS,
531,NUPR1,
532,CST3,
533,EPHA1,
534,NXT1,
535,JUND,
536,CCL2,
537,MYC,
538,FGA,
539,GGT1,
540,CXCR6,
541,SERPINC1,
542,STAR,
543,WDFY2,
544,SST,
545,HRG,
546,HBEGF,
547,CYP19A1,
548,ADIPOQ,
549,NGF,
550,MMP7,
551,CNTN1,
552,TARDBP,
553,NOS1,
554,PARK2,
555,MAD2L1,
556,F7,
557,CD8A,
558,CD79A,
559,ATF2,
560,MYOD1,
561,RELN,
562,NOX4,
563,POLR1B,
564,P4HB,
565,MAP2,
566,NID1,
567,SNCB,
568,SERPINA3,
569,ITGB2,
570,CXCL12,
571,COG2,
572,MAP2K1,
573,YWHAQ,
574,PON1,
575,ITGAV,
576,GATA6,
577,ACTN2,
578,AVP,
579,WWOX,
580,NR0B1,
581,CYP17A1,
582,PRKACA,
583,CEBPA,
584,STAT4,
585,MMRN1,
586,UBE2A,
587,SELL,
588,NCF1,
589,SYK,
590,ITGA3,
591,FYN,
592,FLT1,
593,SHC3,
594,MIB1,
595,IL6R,
596,WNT3,
597,TAC1,
598,CMA1,
599,SMUG1,
600,ACE2,
601,CETP,
602,HMOX1,
603,E2F1,
604,TFPI,
605,YES1,
606,SOD3,
607,EDNRA,
608,TRPM7,
609,XBP1,
610,ADAM12,
611,ANGPT1,
612,ITGB5,
613,ENO1,
614,COMT,
615,BDKRB1,
616,HGF,
617,FOSL1,
618,ATF4,
619,NCL,
620,CD9,
621,ZAP70,
622,EPHA3,
623,STK11,
624,CFLAR,
625,MMP13,
626,GRIN2C,
627,EDNRB,
628,ITGA5,
629,SDC3,
630,ATXN3,
631,CSNK1D,
632,ADAMTS13,
633,ENO3,
634,CDK2,
635,THBS1,
636,PLAT,
637,BTC,
638,SAA1,
639,ANGPT2,
640,SLC6A4,
641,MMP24,
642,VIP,
643,FHL2,
644,GATA5,
645,CYBA,
646,ITGB3BP,
647,CDK1,
648,HDAC1,
649,TGFA,
650,EREG,
651,MTRNR2L12,
652,TRPV5,
653,FGB,
654,HSP90AB1,
655,VCP,
656,CHAT,
657,ACTA2,
658,CTD-2501B8.1,
659,GRIN2D,
660,ADAMTS1,
661,TLR4,
662,CSNK1A1,
663,CPB2,
664,RYR3,
665,UBA1,
666,E2F3,
667,CX3CL1,
668,NPPA,
669,ILF3,
670,SH3D19,
671,CALHM1,
672,CEBPG,
673,TFDP1,
674,NUMB,
675,EFNA1,
676,DPP4,
677,IL2,
678,CYP11A1,
679,FGG,
680,SHC2,
681,COL17A1,
682,NRD1,
683,TRIP6,
684,EFNA5,
685,SREBF1,
686,EFNA2,
687,S100A6,
688,CHL1,
689,SERPINB2,
690,MKI67,
691,PTEN,
692,F3,
693,MAD2L2,
694,E2F2,
695,AXL,
696,TSPAN12,
697,ENO2,
698,CANX,
699,LRIG1,
700,SERPINB5,
701,HSPG2,
702,MYH9,
703,ROS1,
704,CYP11B1,
705,LAP3,
706,LMBRD1,
707,CAPN1,
708,SLC5A5,
709,CD40LG,
710,ABL1,
711,RP11-540D14.8,
712,ERG,
713,FCER2,
714,GART,
715,GRN,
716,SPPL2A,
717,EMC3,
718,PRKACG,
719,SUMO2,
720,SHC4,
721,KRAS,
722,ATP12A,
723,ST14,
724,NR3C1,
725,ENPP1,
726,SERPINA1,
727,TNS1,
728,BCHE,
729,IRS1,
730,FGF9,
731,PRKACB,
732,PDGFD,
733,LCTL,
734,SERPINA5,
735,ATP4A,
736,IL4,
737,LRRK2,
738,MSRB2,
739,CTSL,
740,PDGFC,
741,APOA4,
742,HSP90B1,
743,ACBD3,
744,CD40,
745,GAK,
746,NANOS2,
747,SERPINB6,
748,OR4S2,
749,SORT1,
750,TTR,
751,BRMS1,
752,MTOR,
753,BAX,
754,GIMAP8,
755,NDST2,
756,ABHD14B,
757,BRMS1L,
758,SUDS3,
759,BPNT1,
